symbol,instrument_token,name,generated_date
VOLTAS,951809,VOLTAS,2026-06-26
TATACOMM,952577,TATA COMMUNICATIONS,2026-06-26
VSTIND,953345,VST INDUSTRIES,2026-06-26
ANMOL,954113,ANMOL INDIA,2026-06-26
WALCHANNAG,956417,WALCHANDNAGAR INDUSTRIES,2026-06-26
FINEORG,958465,FINE ORGANIC IND.,2026-06-26
WEIZMANIND,959489,WEIZMANN,2026-06-26
VENKEYS,961793,VENKY S (INDIA),2026-06-26
RITES,962817,RITES,2026-06-26
WHEELS,964097,WHEELS INDIA,2026-06-26
WILLAMAGOR,965633,WILLIAMSON MAGOR,2026-06-26
WIPRO,969473,WIPRO,2026-06-26
WSTCSTPAPR,972545,WEST COAST PAPER MILLS LT,2026-06-26
ZEEL,975873,ZEE ENTERTAINMENT ENT,2026-06-26
ARIHANTCAP,976129,ARIHANT CAPITAL MKTS,2026-06-26
ZODIACLOTH,978177,ZODIAC CLOTHING CO.,2026-06-26
ZUARIIND,979713,ZUARI INDUSTRIES,2026-06-26
BHARATRAS,981505,BHARAT RASAYAN,2026-06-26
VARROC,987393,VARROC ENGINEERING,2026-06-26
SOMANYCERA,993281,SOMANY CERAMICS,2026-06-26
HATSUN,996353,HATSUN AGRO PRODUCT,2026-06-26
CAPLIPOINT,999937,CAPLIN POINT LAB,2026-06-26
NATCOPHARM,1003009,NATCO PHARMA,2026-06-26
GOCLCORP,1014529,GOCL CORPORATION,2026-06-26
REMSONSIND,1015041,REMSONS INDUSTRIES,2026-06-26
PARASPETRO,1016833,PARAS PETROFILS,2026-06-26
TNPL,1018881,TAMILNADU NEWSPRT & PAPER,2026-06-26
GREENPLY,1020673,GREENPLY INDUSTRIES,2026-06-26
CORALFINAC,1025793,CORAL INDIA FIN & HOUS LT,2026-06-26
PVP,1026561,PVP VENTURES,2026-06-26
NAVA,1027585,NAVA,2026-06-26
EIMCOELECO,1034241,EIMCO ELECON (INDIA),2026-06-26
